iter	Logloss
0	0.6686634855
1	0.6464885388
2	0.624955915
3	0.6054303938
4	0.5875908781
5	0.5739749799
6	0.5613306547
7	0.5494379052
8	0.5369915363
9	0.5270621078
10	0.5174266512
11	0.5080186939
12	0.4997630491
13	0.4933835638
14	0.4859390809
15	0.4803572235
16	0.4729736779
17	0.4579917303
18	0.4531122302
19	0.4461291088
20	0.4417851622
21	0.4371922718
22	0.4320202109
23	0.422554691
24	0.4183583474
25	0.4086855839
26	0.4063286528
27	0.399371789
28	0.3934874835
29	0.3898643073
30	0.3874315211
31	0.3844387601
32	0.3826322946
33	0.380594073
34	0.374345584
35	0.3728307538
36	0.3707653373
37	0.3651867063
38	0.3615419193
39	0.3579324597
40	0.3558854236
41	0.3494894025
42	0.3478387791
43	0.3443729078
44	0.3425948708
45	0.3416770795
46	0.3395369027
47	0.3387471172
48	0.3331344585
49	0.3316131253
50	0.3308386697
51	0.3287645162
52	0.3279828957
53	0.3272995046
54	0.3260298881
55	0.3254129694
56	0.323268321
57	0.3195928499
58	0.3178170629
59	0.3172110863
60	0.3155477223
61	0.3141183264
62	0.3122656817
63	0.3115050143
64	0.3108902547
65	0.3099347625
66	0.3090617431
67	0.3082381863
68	0.3072589336
69	0.3060521623
70	0.3052528426
71	0.3047138297
72	0.3039127058
73	0.3023413549
74	0.3016085039
75	0.3004889523
76	0.2997803472
77	0.2984589093
78	0.2975127897
79	0.2966747063
80	0.2943674289
81	0.2932131309
82	0.2918663702
83	0.2910422311
84	0.2900560131
85	0.2895436675
86	0.288959904
87	0.2886765115
88	0.2882109627
89	0.287978303
90	0.2876881872
91	0.2873912346
92	0.2870917141
93	0.2869014287
94	0.2865930021
95	0.2860405689
96	0.2858524383
97	0.2850119943
98	0.2843015623
99	0.2833669252
100	0.2831039812
101	0.282332303
102	0.2818117303
103	0.2815287773
104	0.2810355262
105	0.2806864397
106	0.2804819917
107	0.2796400632
108	0.2793824547
109	0.2787518843
110	0.2785176854
111	0.2783381211
112	0.27784396
113	0.2773961416
114	0.2767665459
115	0.2762924502
116	0.2760650124
117	0.2758388435
118	0.2753441479
119	0.2751520942
120	0.2747142203
121	0.2736231715
122	0.2734800243
123	0.2732586034
124	0.2723556243
125	0.2719873536
